pokedex_number,name,type1,generation,hp,attack,defense,sp_attack,sp_defense,speed,height_m,weight_kg,base_total,is_legendary
383,Groudon,ground,3,100,180,160,150,90,90,3.5,950.0,770,1
384,Rayquaza,dragon,3,105,180,100,180,100,115,7.0,206.5,780,1
385,Jirachi,steel,3,100,100,100,100,100,100,0.3,1.1,600,1
386,Deoxys,psychic,3,50,95,90,95,90,180,1.7,60.8,600,1
387,Turtwig,grass,4,55,68,64,45,55,31,0.4,10.2,318,0
388,Grotle,grass,4,75,89,85,55,65,36,1.1,97.0,405,0
389,Torterra,grass,4,95,109,105,75,85,56,2.2,310.0,525,0
390,Chimchar,fire,4,44,58,44,58,44,61,0.5,6.2,309,0
391,Monferno,fire,4,64,78,52,78,52,81,0.9,22.0,405,0
392,Infernape,fire,4,76,104,71,104,71,108,1.2,55.0,534,0
393,Piplup,water,4,53,51,53,61,56,40,0.4,5.2,314,0
394,Prinplup,water,4,64,66,68,81,76,50,0.8,23.0,405,0
395,Empoleon,water,4,84,86,88,111,101,60,1.7,84.5,530,0
396,Starly,normal,4,40,55,30,30,30,60,0.3,2.0,245,0
397,Staravia,normal,4,55,75,50,40,40,80,0.6,15.5,340,0
398,Staraptor,normal,4,85,120,70,50,60,100,1.2,24.9,485,0
399,Bidoof,normal,4,59,45,40,35,40,31,0.5,20.0,250,0
400,Bibarel,normal,4,79,85,60,55,60,71,1.0,31.5,410,0
401,Kricketot,bug,4,37,25,41,25,41,25,0.3,2.2,194,0
402,Kricketune,bug,4,77,85,51,55,51,65,1.0,25.5,384,0
403,Shinx,electric,4,45,65,34,40,34,45,0.5,9.5,263,0
404,Luxio,electric,4,60,85,49,60,49,60,0.9,30.5,363,0
405,Luxray,electric,4,80,120,79,95,79,70,1.4,42.0,523,0
406,Budew,grass,4,40,30,35,50,70,55,0.2,1.2,280,0
407,Roserade,grass,4,60,70,65,125,105,90,0.9,14.5,515,0
408,Cranidos,rock,4,67,125,40,30,30,58,0.9,31.5,350,0
409,Rampardos,rock,4,97,165,60,65,50,58,1.6,102.5,495,0
410,Shieldon,rock,4,30,42,118,42,88,30,0.5,57.0,350,0
411,Bastiodon,rock,4,60,52,168,47,138,30,1.3,149.5,495,0
412,Burmy,bug,4,40,29,45,29,45,36,0.2,3.4,224,0
413,Wormadam,bug,4,60,69,95,69,95,36,0.5,6.5,424,0
414,Mothim,bug,4,70,94,50,94,50,66,0.9,23.3,424,0
415,Combee,bug,4,30,30,42,30,42,70,0.3,5.5,244,0
416,Vespiquen,bug,4,70,80,102,80,102,40,1.2,38.5,474,0
417,Pachirisu,electric,4,60,45,70,45,90,95,0.4,3.9,405,0
418,Buizel,water,4,55,65,35,60,30,85,0.7,29.5,330,0
419,Floatzel,water,4,85,105,55,85,50,115,1.1,33.5,495,0
420,Cherubi,grass,4,45,35,45,62,53,35,0.4,3.3,275,0
421,Cherrim,grass,4,70,60,70,87,78,85,0.5,9.3,450,0
422,Shellos,water,4,76,48,48,57,62,34,0.3,6.3,325,0
423,Gastrodon,water,4,111,83,68,92,82,39,0.9,29.9,475,0
424,Ambipom,normal,4,75,100,66,60,66,115,1.2,20.3,482,0
425,Drifloon,ghost,4,90,50,34,60,44,70,0.4,1.2,348,0
426,Drifblim,ghost,4,150,80,44,90,54,80,1.2,15.0,498,0
427,Buneary,normal,4,55,66,44,44,56,85,0.4,5.5,350,0
428,Lopunny,normal,4,65,136,94,54,96,135,1.2,33.3,580,0
429,Mismagius,ghost,4,60,60,60,105,105,105,0.9,4.4,495,0
430,Honchkrow,dark,4,100,125,52,105,52,71,0.9,27.3,505,0
431,Glameow,normal,4,49,55,42,42,37,85,0.5,3.9,310,0
432,Purugly,normal,4,71,82,64,64,59,112,1.0,43.8,452,0
433,Chingling,psychic,4,45,30,50,65,50,45,0.2,0.6,285,0
434,Stunky,poison,4,63,63,47,41,41,74,0.4,19.2,329,0
435,Skuntank,poison,4,103,93,67,71,61,84,1.0,38.0,479,0
436,Bronzor,steel,4,57,24,86,24,86,23,0.5,60.5,300,0
437,Bronzong,steel,4,67,89,116,79,116,33,1.3,187.0,500,0
438,Bonsly,rock,4,50,80,95,10,45,10,0.5,15.0,290,0
439,Mime Jr.,psychic,4,20,25,45,70,90,60,0.6,13.0,310,0
440,Happiny,normal,4,100,5,5,15,65,30,0.6,24.4,220,0
441,Chatot,normal,4,76,65,45,92,42,91,0.5,1.9,411,0
442,Spiritomb,ghost,4,50,92,108,92,108,35,1.0,108.0,485,0
443,Gible,dragon,4,58,70,45,40,45,42,0.7,20.5,300,0
444,Gabite,dragon,4,68,90,65,50,55,82,1.4,56.0,410,0
445,Garchomp,dragon,4,108,170,115,120,95,92,1.9,95.0,700,0
446,Munchlax,normal,4,135,85,40,40,85,5,0.6,105.0,390,0
447,Riolu,fighting,4,40,70,40,35,40,60,0.7,20.2,285,0
448,Lucario,fighting,4,70,145,88,140,70,112,1.2,54.0,625,0
449,Hippopotas,ground,4,68,72,78,38,42,32,0.8,49.5,330,0
450,Hippowdon,ground,4,108,112,118,68,72,47,2.0,300.0,525,0
451,Skorupi,poison,4,40,50,90,30,55,65,0.8,12.0,330,0
452,Drapion,poison,4,70,90,110,60,75,95,1.3,61.5,500,0
453,Croagunk,poison,4,48,61,40,61,40,50,0.7,23.0,300,0
454,Toxicroak,poison,4,83,106,65,86,65,85,1.3,44.4,490,0
455,Carnivine,grass,4,74,100,72,90,72,46,1.4,27.0,454,0
456,Finneon,water,4,49,49,56,49,61,66,0.4,7.0,330,0
457,Lumineon,water,4,69,69,76,69,86,91,1.2,24.0,460,0
458,Mantyke,water,4,45,20,50,60,120,50,1.0,65.0,345,0
459,Snover,grass,4,60,62,50,62,60,40,1.0,50.5,334,0
460,Abomasnow,grass,4,90,132,105,132,105,30,2.2,135.5,594,0
461,Weavile,dark,4,70,120,65,45,85,125,1.1,34.0,510,0
462,Magnezone,electric,4,70,70,115,130,90,60,1.2,180.0,535,0
463,Lickilicky,normal,4,110,85,95,80,95,50,1.7,140.0,515,0
464,Rhyperior,ground,4,115,140,130,55,55,40,2.4,282.8,535,0
465,Tangrowth,grass,4,100,100,125,110,50,50,2.0,128.6,535,0
466,Electivire,electric,4,75,123,67,95,85,95,1.8,138.6,540,0
467,Magmortar,fire,4,75,95,67,125,95,83,1.6,68.0,540,0
468,Togekiss,fairy,4,85,50,95,120,115,80,1.5,38.0,545,0
469,Yanmega,bug,4,86,76,86,116,56,95,1.9,51.5,515,0
470,Leafeon,grass,4,65,110,130,60,65,95,1.0,25.5,525,0
471,Glaceon,ice,4,65,60,110,130,95,65,0.8,25.9,525,0
472,Gliscor,ground,4,75,95,125,45,75,95,2.0,42.5,510,0
473,Mamoswine,ice,4,110,130,80,70,60,80,2.5,291.0,530,0
474,Porygon-Z,normal,4,85,80,70,135,75,90,0.9,34.0,535,0
475,Gallade,psychic,4,68,165,95,65,115,110,1.6,52.0,618,0
476,Probopass,rock,4,60,55,145,75,150,40,1.4,340.0,525,0
477,Dusknoir,ghost,4,45,100,135,65,135,45,2.2,106.6,525,0
478,Froslass,ice,4,70,80,70,80,70,110,1.3,26.6,480,0
479,Rotom,electric,4,50,65,107,105,107,86,0.3,0.3,520,0
480,Uxie,psychic,4,75,75,130,75,130,95,0.3,0.3,580,1
481,Mesprit,psychic,4,80,105,105,105,105,80,0.3,0.3,580,1
482,Azelf,psychic,4,75,125,70,125,70,115,0.3,0.3,580,1
483,Dialga,steel,4,100,120,120,150,100,90,5.4,683.0,680,1
484,Palkia,water,4,90,120,100,150,120,100,4.2,336.0,680,1
485,Heatran,fire,4,91,90,106,130,106,77,1.7,430.0,600,1
486,Regigigas,normal,4,110,160,110,80,110,100,3.7,420.0,670,1
487,Giratina,ghost,4,150,120,100,120,100,90,4.5,750.0,680,1
488,Cresselia,psychic,4,120,70,120,75,130,85,1.5,85.6,600,1
489,Phione,water,4,80,80,80,80,80,80,0.4,3.1,480,0
490,Manaphy,water,4,100,100,100,100,100,100,0.3,1.4,600,1
491,Darkrai,dark,4,70,90,90,135,90,125,1.5,50.5,600,1
492,Shaymin,grass,4,100,103,75,120,75,127,0.2,2.1,600,1
493,Arceus,normal,4,120,120,120,120,120,120,3.2,320.0,720,1
494,Victini,psychic,5,100,100,100,100,100,100,0.4,4.0,600,1
495,Snivy,grass,5,45,45,55,45,55,63,0.6,8.1,308,0
496,Servine,grass,5,60,60,75,60,75,83,0.8,16.0,413,0
497,Serperior,grass,5,75,75,95,75,95,113,3.3,63.0,528,0
498,Tepig,fire,5,65,63,45,45,45,45,0.5,9.9,308,0
499,Pignite,fire,5,90,93,55,70,55,55,1.0,55.5,418,0
500,Emboar,fire,5,110,123,65,100,65,65,1.6,150.0,528,0
501,Oshawott,water,5,55,55,45,63,45,45,0.5,5.9,308,0
502,Dewott,water,5,75,75,60,83,60,60,0.8,24.5,413,0
503,Samurott,water,5,95,100,85,108,70,70,1.5,94.6,528,0
504,Patrat,normal,5,45,55,39,35,39,42,0.5,11.6,255,0
505,Watchog,normal,5,60,85,69,60,69,77,1.1,27.0,420,0
506,Lillipup,normal,5,45,60,45,25,45,55,0.4,4.1,275,0
507,Herdier,normal,5,65,80,65,35,65,60,0.9,14.7,370,0
508,Stoutland,normal,5,85,110,90,45,90,80,1.2,61.0,500,0
509,Purrloin,dark,5,41,50,37,50,37,66,0.4,10.1,281,0
510,Liepard,dark,5,64,88,50,88,50,106,1.1,37.5,446,0
511,Pansage,grass,5,50,53,48,53,48,64,0.6,10.5,316,0
512,Simisage,grass,5,75,98,63,98,63,101,1.1,30.5,498,0
513,Pansear,fire,5,50,53,48,53,48,64,0.6,11.0,316,0
514,Simisear,fire,5,75,98,63,98,63,101,1.0,28.0,498,0
515,Panpour,water,5,50,53,48,53,48,64,0.6,13.5,316,0
516,Simipour,water,5,75,98,63,98,63,101,1.0,29.0,498,0
517,Munna,psychic,5,76,25,45,67,55,24,0.6,23.3,292,0
518,Musharna,psychic,5,116,55,85,107,95,29,1.1,60.5,487,0
519,Pidove,normal,5,50,55,50,36,30,43,0.3,2.1,264,0
520,Tranquill,normal,5,62,77,62,50,42,65,0.6,15.0,358,0
521,Unfezant,normal,5,80,115,80,65,55,93,1.2,29.0,488,0
522,Blitzle,electric,5,45,60,32,50,32,76,0.8,29.8,295,0
523,Zebstrika,electric,5,75,100,63,80,63,116,1.6,79.5,497,0
524,Roggenrola,rock,5,55,75,85,25,25,15,0.4,18.0,280,0
525,Boldore,rock,5,70,105,105,50,40,20,0.9,102.0,390,0
526,Gigalith,rock,5,85,135,130,60,80,25,1.7,260.0,515,0
527,Woobat,psychic,5,65,45,43,55,43,72,0.4,2.1,323,0
528,Swoobat,psychic,5,67,57,55,77,55,114,0.9,10.5,425,0
529,Drilbur,ground,5,60,85,40,30,45,68,0.3,8.5,328,0
530,Excadrill,ground,5,110,135,60,50,65,88,0.7,40.4,508,0
531,Audino,normal,5,103,60,126,80,126,50,1.1,31.0,545,0
532,Timburr,fighting,5,75,80,55,25,35,35,0.6,12.5,305,0
533,Gurdurr,fighting,5,85,105,85,40,50,40,1.2,40.0,405,0
534,Conkeldurr,fighting,5,105,140,95,55,65,45,1.4,87.0,505,0
535,Tympole,water,5,50,50,40,50,40,64,0.5,4.5,294,0
536,Palpitoad,water,5,75,65,55,65,55,69,0.8,17.0,384,0
537,Seismitoad,water,5,105,95,75,85,75,74,1.5,62.0,509,0
538,Throh,fighting,5,120,100,85,30,85,45,1.3,55.5,465,0
539,Sawk,fighting,5,75,125,75,30,75,85,1.4,51.0,465,0
540,Sewaddle,bug,5,45,53,70,40,60,42,0.3,2.5,310,0
541,Swadloon,bug,5,55,63,90,50,80,42,0.5,7.3,380,0
542,Leavanny,bug,5,75,103,80,70,80,92,1.2,20.5,500,0
543,Venipede,bug,5,30,45,59,30,39,57,0.4,5.3,260,0
544,Whirlipede,bug,5,40,55,99,40,79,47,1.2,58.5,360,0
545,Scolipede,bug,5,60,100,89,55,69,112,2.5,200.5,485,0
546,Cottonee,grass,5,40,27,60,37,50,66,0.3,0.6,280,0
547,Whimsicott,grass,5,60,67,85,77,75,116,0.7,6.6,480,0
548,Petilil,grass,5,45,35,50,70,50,30,0.5,6.6,280,0
549,Lilligant,grass,5,70,60,75,110,75,90,1.1,16.3,480,0
550,Basculin,water,5,70,92,65,80,55,98,1.0,18.0,460,0
551,Sandile,ground,5,50,72,35,35,35,65,0.7,15.2,292,0
552,Krokorok,ground,5,60,82,45,45,45,74,1.0,33.4,351,0
553,Krookodile,ground,5,95,117,80,65,70,92,1.5,96.3,519,0
554,Darumaka,fire,5,70,90,45,15,45,50,0.6,37.5,315,0
555,Darmanitan,fire,5,105,30,105,140,105,55,1.3,92.9,540,0
556,Maractus,grass,5,75,86,67,106,67,60,1.0,28.0,461,0
557,Dwebble,bug,5,50,65,85,35,35,55,0.3,14.5,325,0
558,Crustle,bug,5,70,105,125,65,75,45,1.4,200.0,485,0
559,Scraggy,dark,5,50,75,70,35,70,48,0.6,11.8,348,0
560,Scrafty,dark,5,65,90,115,45,115,58,1.1,30.0,488,0
561,Sigilyph,psychic,5,72,58,80,103,80,97,1.4,14.0,490,0
562,Yamask,ghost,5,38,30,85,55,65,30,0.5,1.5,303,0
563,Cofagrigus,ghost,5,58,50,145,95,105,30,1.7,76.5,483,0
564,Tirtouga,water,5,54,78,103,53,45,22,0.7,16.5,355,0
565,Carracosta,water,5,74,108,133,83,65,32,1.2,81.0,495,0
566,Archen,rock,5,55,112,45,74,45,70,0.5,9.5,401,0
567,Archeops,rock,5,75,140,65,112,65,110,1.4,32.0,567,0
568,Trubbish,poison,5,50,50,62,40,62,65,0.6,31.0,329,0
569,Garbodor,poison,5,80,95,82,60,82,75,1.9,107.3,474,0
570,Zorua,dark,5,40,65,40,80,40,65,0.7,12.5,330,0
571,Zoroark,dark,5,60,105,60,120,60,105,1.6,81.1,510,0
572,Minccino,normal,5,55,50,40,40,40,75,0.4,5.8,300,0
573,Cinccino,normal,5,75,95,60,65,60,115,0.5,7.5,470,0
574,Gothita,psychic,5,45,30,50,55,65,45,0.4,5.8,290,0
575,Gothorita,psychic,5,60,45,70,75,85,55,0.7,18.0,390,0
576,Gothitelle,psychic,5,70,55,95,95,110,65,1.5,44.0,490,0
577,Solosis,psychic,5,45,30,40,105,50,20,0.3,1.0,290,0
578,Duosion,psychic,5,65,40,50,125,60,30,0.6,8.0,370,0
579,Reuniclus,psychic,5,110,65,75,125,85,30,1.0,20.1,490,0
580,Ducklett,water,5,62,44,50,44,50,55,0.5,5.5,305,0
581,Swanna,water,5,75,87,63,87,63,98,1.3,24.2,473,0
582,Vanillite,ice,5,36,50,50,65,60,44,0.4,5.7,305,0
583,Vanillish,ice,5,51,65,65,80,75,59,1.1,41.0,395,0
584,Vanilluxe,ice,5,71,95,85,110,95,79,1.3,57.5,535,0
585,Deerling,normal,5,60,60,50,40,50,75,0.6,19.5,335,0
586,Sawsbuck,normal,5,80,100,70,60,70,95,1.9,92.5,475,0
587,Emolga,electric,5,55,75,60,75,60,103,0.4,5.0,428,0
588,Karrablast,bug,5,50,75,45,40,45,60,0.5,5.9,315,0
589,Escavalier,bug,5,70,135,105,60,105,20,1.0,33.0,495,0
590,Foongus,grass,5,69,55,45,55,55,15,0.2,1.0,294,0
591,Amoonguss,grass,5,114,85,70,85,80,30,0.6,10.5,464,0
592,Frillish,water,5,55,40,50,65,85,40,1.2,33.0,335,0
593,Jellicent,water,5,100,60,70,85,105,60,2.2,135.0,480,0
594,Alomomola,water,5,165,75,80,40,45,65,1.2,31.6,470,0
595,Joltik,bug,5,50,47,50,57,50,65,0.1,0.6,319,0
596,Galvantula,bug,5,70,77,60,97,60,108,0.8,14.3,472,0
597,Ferroseed,grass,5,44,50,91,24,86,10,0.6,18.8,305,0
598,Ferrothorn,grass,5,74,94,131,54,116,20,1.0,110.0,489,0
599,Klink,steel,5,40,55,70,45,60,30,0.3,21.0,300,0
600,Klang,steel,5,60,80,95,70,85,50,0.6,51.0,440,0
601,Klinklang,steel,5,60,100,115,70,85,90,0.6,81.0,520,0
602,Tynamo,electric,5,35,55,40,45,40,60,0.2,0.3,275,0
603,Eelektrik,electric,5,65,85,70,75,70,40,1.2,22.0,405,0
604,Eelektross,electric,5,85,115,80,105,80,50,2.1,80.5,515,0
605,Elgyem,psychic,5,55,55,55,85,55,30,0.5,9.0,335,0
606,Beheeyem,psychic,5,75,75,75,125,95,40,1.0,34.5,485,0
607,Litwick,ghost,5,50,30,55,65,55,20,0.3,3.1,275,0
608,Lampent,ghost,5,60,40,60,95,60,55,0.6,13.0,370,0
609,Chandelure,ghost,5,60,55,90,145,90,80,1.0,34.3,520,0
610,Axew,dragon,5,46,87,60,30,40,57,0.6,18.0,320,0
611,Fraxure,dragon,5,66,117,70,40,50,67,1.0,36.0,410,0
612,Haxorus,dragon,5,76,147,90,60,70,97,1.8,105.5,540,0
613,Cubchoo,ice,5,55,70,40,60,40,40,0.5,8.5,305,0
614,Beartic,ice,5,95,130,80,70,80,50,2.6,260.0,505,0
615,Cryogonal,ice,5,80,50,50,95,135,105,1.1,148.0,515,0
616,Shelmet,bug,5,50,40,85,40,65,25,0.4,7.7,305,0
617,Accelgor,bug,5,80,70,40,100,60,145,0.8,25.3,495,0
618,Stunfisk,ground,5,109,66,84,81,99,32,0.7,11.0,471,0
619,Mienfoo,fighting,5,45,85,50,55,50,65,0.9,20.0,350,0
620,Mienshao,fighting,5,65,125,60,95,60,105,1.4,35.5,510,0
621,Druddigon,dragon,5,77,120,90,60,90,48,1.6,139.0,485,0
622,Golett,ground,5,59,74,50,35,50,35,1.0,92.0,303,0
623,Golurk,ground,5,89,124,80,55,80,55,2.8,330.0,483,0
624,Pawniard,dark,5,45,85,70,40,40,60,0.5,10.2,340,0
625,Bisharp,dark,5,65,125,100,60,70,70,1.6,70.0,490,0
626,Bouffalant,normal,5,95,110,95,40,95,55,1.6,94.6,490,0
627,Rufflet,normal,5,70,83,50,37,50,60,0.5,10.5,350,0
628,Braviary,normal,5,100,123,75,57,75,80,1.5,41.0,510,0
629,Vullaby,dark,5,70,55,75,45,65,60,0.5,9.0,370,0
630,Mandibuzz,dark,5,110,65,105,55,95,80,1.2,39.5,510,0
631,Heatmor,fire,5,85,97,66,105,66,65,1.4,58.0,484,0
632,Durant,bug,5,58,109,112,48,48,109,0.3,33.0,484,0
633,Deino,dark,5,52,65,50,45,50,38,0.8,17.3,300,0
634,Zweilous,dark,5,72,85,70,65,70,58,1.4,50.0,420,0
635,Hydreigon,dark,5,92,105,90,125,90,98,1.8,160.0,600,0
636,Larvesta,bug,5,55,85,55,50,55,60,1.1,28.8,360,0
637,Volcarona,bug,5,85,60,65,135,105,100,1.6,46.0,550,0
638,Cobalion,steel,5,91,90,129,90,72,108,2.1,250.0,580,1
639,Terrakion,rock,5,91,129,90,72,90,108,1.9,260.0,580,1
640,Virizion,grass,5,91,90,72,90,129,108,2.0,200.0,580,1
641,Tornadus,flying,5,79,100,80,110,90,121,1.5,63.0,580,1
642,Thundurus,electric,5,79,105,70,145,80,101,1.5,61.0,580,1
643,Reshiram,dragon,5,100,120,100,150,120,90,3.2,330.0,680,1
644,Zekrom,dragon,5,100,150,120,120,100,90,2.9,345.0,680,1
645,Landorus,ground,5,89,145,90,105,80,91,1.5,68.0,600,1
646,Kyurem,dragon,5,125,120,90,170,100,95,3.0,325.0,700,1
647,Keldeo,water,5,91,72,90,129,90,108,1.4,48.5,580,1
648,Meloetta,normal,5,100,128,90,77,77,128,0.6,6.5,600,1
649,Genesect,bug,5,71,120,95,120,95,99,1.5,82.5,600,1
650,Chespin,grass,6,56,61,65,48,45,38,0.4,9.0,313,0
651,Quilladin,grass,6,61,78,95,56,58,57,0.7,29.0,405,0
652,Chesnaught,grass,6,88,107,122,74,75,64,1.6,90.0,530,0
653,Fennekin,fire,6,40,45,40,62,60,60,0.4,9.4,307,0
654,Braixen,fire,6,59,59,58,90,70,73,1.0,14.5,409,0
655,Delphox,fire,6,75,69,72,114,100,104,1.5,39.0,534,0
656,Froakie,water,6,41,56,40,62,44,71,0.3,7.0,314,0
657,Frogadier,water,6,54,63,52,83,56,97,0.6,10.9,405,0
658,Greninja,water,6,72,145,67,153,71,132,1.5,40.0,640,0
659,Bunnelby,normal,6,38,36,38,32,36,57,0.4,5.0,237,0
660,Diggersby,normal,6,85,56,77,50,77,78,1.0,42.4,423,0
661,Fletchling,normal,6,45,50,43,40,38,62,0.3,1.7,278,0
662,Fletchinder,fire,6,62,73,55,56,52,84,0.7,16.0,382,0
663,Talonflame,fire,6,78,81,71,74,69,126,1.2,24.5,499,0
664,Scatterbug,bug,6,38,35,40,27,25,35,0.3,2.5,200,0
665,Spewpa,bug,6,45,22,60,27,30,29,0.3,8.4,213,0
666,Vivillon,bug,6,80,52,50,90,50,89,1.2,17.0,411,0
667,Litleo,fire,6,62,50,58,73,54,72,0.6,13.5,369,0
668,Pyroar,fire,6,86,68,72,109,66,106,1.5,81.5,507,0
669,Flabébé,fairy,6,44,38,39,61,79,42,0.1,0.1,303,0
670,Floette,fairy,6,74,65,67,125,128,92,0.2,0.9,551,0
671,Florges,fairy,6,78,65,68,112,154,75,1.1,10.0,552,0
672,Skiddo,grass,6,66,65,48,62,57,52,0.9,31.0,350,0
673,Gogoat,grass,6,123,100,62,97,81,68,1.7,91.0,531,0
674,Pancham,fighting,6,67,82,62,46,48,43,0.6,8.0,348,0
675,Pangoro,fighting,6,95,124,78,69,71,58,2.1,136.0,495,0
676,Furfrou,normal,6,75,80,60,65,90,102,1.2,28.0,472,0
677,Espurr,psychic,6,62,48,54,63,60,68,0.3,3.5,355,0
678,Meowstic,psychic,6,74,48,76,83,81,104,0.6,8.5,466,0
679,Honedge,steel,6,45,80,100,35,37,28,0.8,2.0,325,0
680,Doublade,steel,6,59,110,150,45,49,35,0.8,4.5,448,0
681,Aegislash,steel,6,60,150,50,150,50,60,1.7,53.0,520,0
682,Spritzee,fairy,6,78,52,60,63,65,23,0.2,0.5,341,0
683,Aromatisse,fairy,6,101,72,72,99,89,29,0.8,15.5,462,0
684,Swirlix,fairy,6,62,48,66,59,57,49,0.4,3.5,341,0
685,Slurpuff,fairy,6,82,80,86,85,75,72,0.8,5.0,480,0
686,Inkay,dark,6,53,54,53,37,46,45,0.4,3.5,288,0
687,Malamar,dark,6,86,92,88,68,75,73,1.5,47.0,482,0
688,Binacle,rock,6,42,52,67,39,56,50,0.5,31.0,306,0
689,Barbaracle,rock,6,72,105,115,54,86,68,1.3,96.0,500,0
690,Skrelp,poison,6,50,60,60,60,60,30,0.5,7.3,320,0
691,Dragalge,poison,6,65,75,90,97,123,44,1.8,81.5,494,0
692,Clauncher,water,6,50,53,62,58,63,44,0.5,8.3,330,0
693,Clawitzer,water,6,71,73,88,120,89,59,1.3,35.3,500,0
694,Helioptile,electric,6,44,38,33,61,43,70,0.5,6.0,289,0
695,Heliolisk,electric,6,62,55,52,109,94,109,1.0,21.0,481,0
696,Tyrunt,rock,6,58,89,77,45,45,48,0.8,26.0,362,0
697,Tyrantrum,rock,6,82,121,119,69,59,71,2.5,270.0,521,0
698,Amaura,rock,6,77,59,50,67,63,46,1.3,25.2,362,0
699,Aurorus,rock,6,123,77,72,99,92,58,2.7,225.0,521,0
700,Sylveon,fairy,6,95,65,65,110,130,60,1.0,23.5,525,0
701,Hawlucha,fighting,6,78,92,75,74,63,118,0.8,21.5,500,0
702,Dedenne,electric,6,67,58,57,81,67,101,0.2,2.2,431,0
703,Carbink,rock,6,50,50,150,50,150,50,0.3,5.7,500,0
704,Goomy,dragon,6,45,50,35,55,75,40,0.3,2.8,300,0
705,Sliggoo,dragon,6,68,75,53,83,113,60,0.8,17.5,452,0
706,Goodra,dragon,6,90,100,70,110,150,80,2.0,150.5,600,0
707,Klefki,steel,6,57,80,91,80,87,75,0.2,3.0,470,0
708,Phantump,ghost,6,43,70,48,50,60,38,0.4,7.0,309,0
709,Trevenant,ghost,6,85,110,76,65,82,56,1.5,71.0,474,0
710,Pumpkaboo,ghost,6,59,66,70,44,55,41,0.8,15.0,335,0
711,Gourgeist,ghost,6,85,100,122,58,75,54,1.7,39.0,494,0
712,Bergmite,ice,6,55,69,85,32,35,28,1.0,99.5,304,0
713,Avalugg,ice,6,95,117,184,44,46,28,2.0,505.0,514,0
714,Noibat,flying,6,40,30,35,45,40,55,0.5,8.0,245,0
715,Noivern,flying,6,85,70,80,97,80,123,1.5,85.0,535,0
716,Xerneas,fairy,6,126,131,95,131,98,99,3.0,215.0,680,1
717,Yveltal,dark,6,126,131,95,131,98,99,5.8,203.0,680,1
718,Zygarde,dragon,6,216,100,121,91,95,85,5.0,284.6,708,1
719,Diancie,rock,6,50,160,110,160,110,110,0.7,8.8,700,1
720,Hoopa,psychic,6,80,160,60,170,130,80,,,680,1
721,Volcanion,fire,6,80,110,120,130,90,70,1.7,195.0,600,1
722,Rowlet,grass,7,68,55,55,50,50,42,0.3,1.5,320,0
723,Dartrix,grass,7,78,75,75,70,70,52,0.7,16.0,420,0
724,Decidueye,grass,7,78,107,75,100,100,70,1.6,36.6,530,0
725,Litten,fire,7,45,65,40,60,40,70,0.4,4.3,320,0
726,Torracat,fire,7,65,85,50,80,50,90,0.7,25.0,420,0
727,Incineroar,fire,7,95,115,90,80,90,60,1.8,83.0,530,0
728,Popplio,water,7,50,54,54,66,56,40,0.4,7.5,320,0
729,Brionne,water,7,60,69,69,91,81,50,0.6,17.5,420,0
730,Primarina,water,7,80,74,74,126,116,60,1.8,44.0,530,0
731,Pikipek,normal,7,35,75,30,30,30,65,0.3,1.2,265,0
732,Trumbeak,normal,7,55,85,50,40,50,75,0.6,14.8,355,0
733,Toucannon,normal,7,80,120,75,75,75,60,1.1,26.0,485,0
734,Yungoos,normal,7,48,70,30,30,30,45,0.4,6.0,253,0
735,Gumshoos,normal,7,88,110,60,55,60,45,0.7,14.2,418,0
736,Grubbin,bug,7,47,62,45,55,45,46,0.4,4.4,300,0
737,Charjabug,bug,7,57,82,95,55,75,36,0.5,10.5,400,0
738,Vikavolt,bug,7,77,70,90,145,75,43,1.5,45.0,500,0
739,Crabrawler,fighting,7,47,82,57,42,47,63,0.6,7.0,338,0
740,Crabominable,fighting,7,97,132,77,62,67,43,1.7,180.0,478,0
741,Oricorio,fire,7,75,70,70,98,70,93,0.6,3.4,476,0
742,Cutiefly,bug,7,40,45,40,55,40,84,0.1,0.2,304,0
743,Ribombee,bug,7,60,55,60,95,70,124,0.2,0.5,464,0
744,Rockruff,rock,7,45,65,40,30,40,60,0.5,9.2,280,0
745,Lycanroc,rock,7,85,115,75,55,75,82,,,487,0
746,Wishiwashi,water,7,45,140,130,140,135,30,0.2,0.3,620,0
747,Mareanie,poison,7,50,53,62,43,52,45,0.4,8.0,305,0
748,Toxapex,poison,7,50,63,152,53,142,35,0.7,14.5,495,0
749,Mudbray,ground,7,70,100,70,45,55,45,1.0,110.0,385,0
750,Mudsdale,ground,7,100,125,100,55,85,35,2.5,920.0,500,0
751,Dewpider,water,7,38,40,52,40,72,27,0.3,4.0,269,0
752,Araquanid,water,7,68,70,92,50,132,42,1.8,82.0,454,0
753,Fomantis,grass,7,40,55,35,50,35,35,0.3,1.5,250,0
754,Lurantis,grass,7,70,105,90,80,90,45,0.9,18.5,480,0
755,Morelull,grass,7,40,35,55,65,75,15,0.2,1.5,285,0
756,Shiinotic,grass,7,60,45,80,90,100,30,1.0,11.5,405,0
757,Salandit,poison,7,48,44,40,71,40,77,0.6,4.8,320,0
758,Salazzle,poison,7,68,64,60,111,60,117,1.2,22.2,480,0
759,Stufful,normal,7,70,75,50,45,50,50,0.5,6.8,340,0
760,Bewear,normal,7,120,125,80,55,60,60,2.1,135.0,500,0
